city,company_id,salary_from,employment,schedule,experience,key_skills,specializations
Волгоград,2264343,14000,full,fullDay,noExperience,,29.512
unknown,224912,36000,full,fullDay,between1And3,,20.49
unknown,2962344,70000,full,flyInFlyOut,between3And6,,20.287 20.83 21.136 21.74
unknown,1454866,230000,full,fullDay,noExperience,,13.748 13.131
Екатеринбург,224912,40000,full,fullDay,between1And3,,21.275 21.564 21.136 29.549
г Петергоф,1942336,30000,full,fullDay,noExperience,,17.256 17.52 2.102
unknown,42474,40000,full,fullDay,between1And3,,17.302 17.256 17.242 17.324 17.44 9.226
unknown,1034933,30000,full,fullDay,moreThan6,,25.381 1.82
unknown,897900,17000,full,fullDay,between1And3,,29.514
unknown,1577552,200000,full,fullDay,between3And6,,2.261 5.262
unknown,3036416,70000,full,flexible,between3And6,,21.482
unknown,3036416,70000,full,flexible,between3And6,,21.482
unknown,3036416,70000,full,flexible,between3And6,,21.482
unknown,3036416,70000,full,flexible,between3And6,,21.482
unknown,3036416,70000,full,flexible,between3And6,,21.482
unknown,3036416,70000,full,flexible,between3And6,,21.482
unknown,3036416,70000,full,flexible,between3And6,,21.482
unknown,3036416,70000,full,flexible,between3And6,,21.482
unknown,3036416,70000,full,flexible,between3And6,,21.482
unknown,3036416,70000,full,flexible,between3And6,,21.482
Тверь,3403877,35000,full,fullDay,noExperience,,29.541 4.494 4.374
unknown,3838955,850,full,fullDay,between3And6,,21.482 27.498 4.52
unknown,42474,45000,full,fullDay,between1And3,,17.302 17.256 17.242 17.324 17.44 9.226
Санкт-Петербург,1842656,5000,part,remote,noExperience,,23.187 23.476 23.479 23.311 23.266 23.362
unknown,4621611,15000,part,flexible,between1And3,,13.155
Екатеринбург,773401,28000,full,fullDay,between1And3,,29.545 21.563
Великий Новгород,989617,20000,full,fullDay,between1And3,,18.245
unknown,3279821,30000,full,fullDay,between1And3,,29.556 29.588 29.56 29.514 20.287 20.49
unknown,3279821,30000,full,fullDay,between1And3,,29.556 29.588 29.56 29.514 20.287 20.49
unknown,3279821,30000,full,fullDay,between1And3,,29.556 29.588 29.56 29.514 20.287 20.49
Выборг,192816,20000,full,fullDay,between1And3,,8.77
Москва,45333,52000,full,fullDay,noExperience,,13.22 13.578 13.227
Москва,2541992,70000,full,fullDay,between3And6,,13.268 13.537 6.319 9.145
unknown,49357,29000,full,fullDay,between1And3,,18.354
unknown,736714,40000,full,fullDay,between1And3,,17.417 17.306 17.196 17.324 17.149
unknown,1454866,230000,full,fullDay,noExperience,,13.748 13.131
Рыбинск,1942330,24000,full,fullDay,between1And3,,17.256 17.231 17.535
Тюмень,736714,26000,full,fullDay,between3And6,,2.43 2.102 5.192 5.103 5.42
Самара,2476133,40000,full,fullDay,between3And6,,20.63 20.755 20.7 20.186
Киров,3447886,26000,full,shift,between1And3,,20.396 20.49 18.208 29.581
Уфа,2946706,60000,full,fullDay,noExperience,,20.287 20.83 20.233 17.417 18.29 18.297
unknown,665662,65000,full,flyInFlyOut,between3And6,,20.287 20.49 21.482
unknown,1454866,130000,full,fullDay,noExperience,,13.128
Уфа,2946706,90000,full,flyInFlyOut,between1And3,,20.287 20.387
Москва,2541992,45000,full,fullDay,between1And3,,13.155 13.185
unknown,1000852,23000,full,fullDay,noExperience,,29.556 29.495 17.302 17.256 17.231
unknown,764786,600,full,fullDay,between1And3,,29.545 21.563
Иркутск,3118824,50000,full,fullDay,noExperience,,13.587
Тверь,1263457,70000,full,fullDay,noExperience,,21.176 21.17 21.481 21.136
Щербинка,4591465,100000,full,fullDay,noExperience,,17.417 17.242 17.149
unknown,1454866,130000,full,fullDay,noExperience,,13.155 13.185
Хатежино,4302512,1000,full,shift,between1And3,,18.142 18.174 18.208 18.81 18.129 18.339
Москва,2964582,50000,full,fullDay,between3And6,,2.43 2.337 5.42
посёлок Парголово,2543775,40000,full,fullDay,between1And3,,29.557 29.514
Воронеж,177476,50000,full,fullDay,between3And6,,17.333 17.334 17.751 17.183
Москва,953,47300,full,flexible,noExperience,,5.735 5.177 5.21 5.371 5.106 5.426
unknown,3036416,80000,full,fullDay,between1And3,,20.287 20.387 20.49
