city,company_id,salary_from,employment,schedule,experience,key_skills,specializations
Санкт-Петербург,82764,50000,full,fullDay,between1And3,,2.43 2.463 2.1 2.469
Воронеж,1331394,30000,full,fullDay,between1And3,,17.242 17.149
unknown,3771782,33000,full,fullDay,noExperience,,17.751 17.242 17.306 17.149 17.183
unknown,196621,20000,full,fullDay,noExperience,,29.556 29.495 17.256 17.52
Казань,4054058,23000,full,fullDay,between3And6,,21.482 4.52
Минск,1068597,770,full,shift,between1And3,,29.495
,3177,30000,full,fullDay,noExperience,,1.172 1.221 1.272 1.113 1.25 15.93
unknown,2818120,75000,full,flyInFlyOut,between3And6,,21.12 21.17 21.481 21.69 21.136
unknown,2818120,75000,full,flyInFlyOut,between3And6,,21.12 21.17 21.481 21.69 21.136
unknown,2818120,75000,full,flyInFlyOut,between3And6,,21.12 21.17 21.481 21.69 21.136
unknown,2818120,75000,full,flyInFlyOut,between3And6,,21.12 21.17 21.481 21.69 21.136
unknown,2818120,75000,full,flyInFlyOut,between3And6,,21.12 21.17 21.481 21.69 21.136
Минск,2023241,450,full,shift,noExperience,,22.175 22.193
Сочи,1065039,100000,full,fullDay,noExperience,,17.242 17.306 17.324 17.538 20.2 20.7
Ломоносовский район,3221995,50000,full,fullDay,between1And3,,29.514 20.49
Санкт-Петербург,119069,40000,full,fullDay,between1And3,,4.181 18.245
Москва,4855,40000,full,flexible,noExperience,,15.308
unknown,2415900,25000,full,fullDay,between1And3,,18.129 18.73
Костанай,2172812,90000,full,shift,noExperience,,21.506
Новосибирск,226674,40000,full,fullDay,between1And3,,17.751 17.65 17.66 17.242 17.196
unknown,159033,31500,full,shift,between1And3,,29.556 29.495 29.545 21.275 21.564 21.136
Томск,1701369,25000,full,fullDay,between1And3,,29.588 18.142
деревня Ям-Ижора,49357,32300,full,shift,between1And3,,4.429 4.338
Санкт-Петербург,1842656,5000,part,remote,noExperience,,23.187 23.476 23.479 23.311 23.266 23.362
поселок Невское,3234275,35000,full,fullDay,between1And3,,17.417 17.242 17.196
Барнаул,2366606,20500,full,fullDay,between1And3,,18.29
Москва,3585139,34400,full,fullDay,noExperience,,15.389 15.391 17.183 17.231 17.535 17.24
Москва,1656044,90000,full,fullDay,between1And3,,13.587 13.131
Химки,988426,50000,full,flyInFlyOut,moreThan6,,29.556 29.51 29.511 29.553 18.142 18.208
Липецк,140061,30000,full,fullDay,between1And3,,18.142 1.82 29.162 29.553
unknown,1144176,39000,full,fullDay,between3And6,,20.573 20.83 20.233 2.249 2.425
unknown,4633793,1000,full,shift,noExperience,,8.202
unknown,226760,27000,full,shift,noExperience,,18.142 29.558 29.511 29.162 29.517 29.553
unknown,745358,50000,full,fullDay,between1And3,,17.256 17.535 17.52
unknown,791645,400,full,shift,between1And3,,29.588 29.548
Москва,3585139,34400,full,fullDay,noExperience,,15.389 15.391 17.183 17.231 17.535 17.24
Санкт-Петербург,4633,35000,full,fullDay,between1And3,,24.379 24.38 17.333 17.149 17.538
Краснодар,3967915,55000,full,fullDay,between1And3,,7.267 7.503 29.51 29.162 29.552
unknown,1936366,35500,full,fullDay,between1And3,,18.348
деревня Ям-Ижора,49357,32300,full,shift,between1And3,,4.429 4.338
unknown,2746,40000,full,fullDay,between1And3,,17.256 17.324 17.231 17.44
Тобольск,4880,21000,full,fullDay,noExperience,,17.256 17.149 17.183 17.535 17.52
unknown,19615,28000,full,fullDay,between1And3,,29.545
Москва,3585139,41300,full,fullDay,between1And3,,22.491 22.204 17.256 17.231 17.535
unknown,3681511,63000,full,flyInFlyOut,noExperience,,18.174 21.176 21.564 29.512 29.545
,5301,25500,full,fullDay,between1And3,,2.43 2.179 17.196 17.24
Москва,1250899,58000,full,flyInFlyOut,noExperience,,29.556 29.588 29.541 29.495 29.545 15.237
Воронеж,11109,21000,full,shift,between1And3,,20.396 20.49 29.56 29.515 29.581
Москва,3191466,45000,full,fullDay,noExperience,,8.135
Липецк,3201138,20000,full,fullDay,noExperience,,23.29 4.734 3.114 14.355 5.106 12.746
Новосибирск,370,30000,full,fullDay,between1And3,,13.155 13.587 13.433 13.131 13.185 19.147
unknown,196621,20000,full,fullDay,noExperience,,17.256 17.242 17.183 17.231 17.52
,5301,25500,full,fullDay,between1And3,,4.429 4.47 4.181
unknown,2784672,60000,full,fullDay,between1And3,,17.333 21.17
Борисов,3879590,600,full,shift,noExperience,,17.256 17.52
Самара,42361,35000,full,fullDay,between3And6,,18.81 18.361 20.83 29.515
Москва,794910,55000,full,fullDay,between1And3,,21.48 21.17 21.69
Барнаул,2659157,20000,full,shift,noExperience,,7.267 7.14
,601341,40000,full,shift,between1And3,,22.248 22.329
unknown,2726610,33000,full,fullDay,noExperience,,17.242
Новокузнецк,3911087,22000,full,fullDay,noExperience,,22.193 15.313
Красноярск,1514510,30000,full,fullDay,between1And3,,26.574 26.407 17.242
Москва,1970045,40000,full,fullDay,between1And3,,6.254 6.319 6.336 6.309 6.247 20.287
Краснодар,1171611,26472,full,fullDay,between1And3,,4.429
Красноярск,1514510,30000,full,fullDay,between1And3,,20.287 20.387
Воронеж,1265695,25000,full,flexible,noExperience,,25.381
Ульяновск,3012307,20000,full,fullDay,noExperience,,20.396 20.287 20.49 29.56 29.515 29.581
Томск,3648974,35000,full,fullDay,between1And3,,20.287
